ccaa;periodo;origen;abandono_temprano;nivel_superior_25_34;nivel_bajo_25_64;formacion_adultos_25_64;neet_15_29;idoneidad_15;graduacion_eso;escolarizacion_0_2;gasto_edu_pib;gasto_por_alumno
Andalucía;2015;real;24,9;33,3;51,4;9,2;24,1;63,8;77,5;39,2;4,4994;4735,0
Andalucía;2016;real;23,1;32,8;50,8;8,7;22,7;64,8;74,2;41,1;4,5418;4943,0
Andalucía;2017;real;23,5;33,8;50,5;8,6;21,4;65,2;75,5;44,6;4,4768;5077,0
Andalucía;2018;real;21,9;34,9;49,0;9,0;20,1;66,6;77,0;46,4;4,5275;5210,0
Andalucía;2019;real;21,6;37,6;47,8;9,6;19,0;66,5;81,6;48,5;4,3827;5439,0
Andalucía;2020;real;21,8;39,4;46,7;9,6;21,9;70,5;80,8;43,6;5,2428;5778,0
Andalucía;2021;real;17,7;41,6;45,0;12,7;17,3;70,2;78,2;51,2;5,1118;6367,0
Andalucía;2022;real;15,5;43,5;43,9;14,6;14,8;70,0;81,2;54,0;4,7431;6779,0
Andalucía;2023;real;16,9;44,5;42,7;15,1;15,4;70,9;83,0;56,0;4,4174;7365,0
Andalucía;2024;proyeccion;15,5;46,0;42,0;14,6;14,6;72,6;83,1278;56,5;4,3884;7883,5443
Andalucía;2025;proyeccion;14,5;45,4;41,7;13,7;13,3;73,4667;83,9978;56,5;4,3641;8342,3979
Andalucía;2026;proyeccion;13,2327;46,61;40,73;13,7;12,2345;74,4406;84,8678;56,5;4,2516;8748,4318
Aragón;2015;real;19,5;42,8;39,0;11,2;16,6;56,9;77,1;34,0;2,644;5631,0
Aragón;2016;real;19,1;42,9;36,3;11,4;14,8;58,5;76,6;35,4;2,7748;5917,0
Aragón;2017;real;16,4;44,7;36,3;12,1;12,5;67,6;74,9;36,5;2,8921;6213,0
Aragón;2018;real;15,8;46,5;35,5;12,1;11,5;70,6;77,0;37,9;2,9299;6485,0
Aragón;2019;real;14,6;47,8;34,3;9,7;11,6;71,0;84,4;36,4;2,8346;6521,0
Aragón;2020;real;14,2;47,4;32,5;10,9;14,6;74,2;81,1;30,8;3,2879;6680,0
Aragón;2021;real;13,0;52,4;30,9;15,2;9,8;73,0;78,0;36,0;3,3386;7128,0
Aragón;2022;real;12,5;54,8;33,6;15,8;10,7;73,8;79,1;38,3;3,0036;7452,0
Aragón;2023;real;10,8;51,0;33,6;16,2;10,1;70,2;78,5;39,7;2,9354;7824,0
Aragón;2024;proyeccion;11,9;47,7;34,5;15,3;9,7;71,5;78,5222;40,5;3,062;8098,125
